Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
Department for Education,Department for Education,G2-SCH-2022-10-12157,Essential Post-16 Capacity Fund,Grant funding to help accommodate the expected demographic increase in 16 to 19-year-olds.,68716596.31,2021-04-01,2023-03-31,General Grant - Competed,24,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2022-10-12158,EdMAT Catholic (SJCMAT),Create a turnaround trust to take on high risk inadequate Catholic schools in the North West.,867273.00,2021-04-01,2023-03-31,General Grant - Criteria Based,24,Education,Academies Act 2010
Department for Education,Department for Education,G2-SCH-2022-10-12159,UK German Connection & German Links,"UKGC operates as a not-for-profit, bilateral government agency. Their programmes provide opportunities for children in England to engage in various activities (such as seminars, exchanges, visits and study courses) with children and young people (from primary, secondary and FE sectors) in Germany. This gives them the chance to experience a different culture, improve their language skills and build independence, character and resilience, helping them to become more internationally minded. UKGC also provides opportunities for the professional development of language teachers and assistants through their teacher exchange programmes. UKGC aims to support increased uptake of and improved proficiency in German language as well as promoting cultural exchange and providing enrichment opportunities.",140800.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2022-10-12162,Recovery Premium Grant,Additional funding in the 2021 to 2022 academic year to support schools with education recovery following COVID-19.,524226155.34,2021-04-01,2023-03-31,Formula Grant,24,Education,Education Act 2002
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-10-12164,Spectrum Policy Forum,"This business case requests £45,000 as the DCMS contribution to the Spectrum Policy Forum (SPF), for which techUK provides the secretariat, and the work they undertake to examine and recommend actions on key spectrum issues, in 2022/23.",45000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,"Recreation, culture and religion",Industrial Development Act 1982
Department of Health and Social Care,NHS England,G2-SCH-2022-11-12166,Autistic Inpatient Mental Health Casework Service,"Current outcomes from the first six months include:100% of service users surveyed felt they were listened to and that they knew more about their loved ones entitlements.94% of service users surveyed felt better ableto choose and make informed decisions about their loved ones care and wellbeing.81%of service users surveyedwere more confident in discussing their loved one's rights with professionals felt they had information they could act on.In addition, all urgent queries were responded to within three days, and mostwithin 24 hours.Two cases of admission avoidances(one confirmed and one pending) -that we are aware of.Six discharges (four confirmed and two pending) -that we are aware of.Two cases of preventing theremoval of an Autism diagnosis -that we are aware of.",170271.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Health,NHS Act 2006
Department of Health and Social Care,NHS England,G2-SCH-2022-11-12168,Technology Enabled Care at Home," Evidence of how technology enabled change can be supported using quality improvement. 
 Stronger links between digital and improvement fields in health and care systems.
 Innovative approaches to scaling and implementing technology enabled care at home. 
 Technology enabled care at home is a key aspect of an evolving health service, testing pilot schemes via grant funding will develop a blueprint for future ways of working.",110000.00,2021-04-01,2024-03-31,General Grant - Competed,36,General public services,NHS Act 2006
Department for Education,Education and Skills Funding Agency,G2-SCH-2022-11-12172,Schools Emergency Support,Schools Emergency Support - provide schools with emergency support during COVID-19.,177665.00,2021-04-01,2023-03-31,Formula Grant,24,Education,Education Act 2002
Department for Education,Education and Skills Funding Agency,G2-SCH-2022-11-12173,Education Recovery 5% Time Off Timetable for ECTs,Education Recovery 5% Time off Timetable for ECTs.,10360550.00,2021-04-01,2023-03-31,Formula Grant,24,Education,Education Act 2002
Department of Health and Social Care,NHS England,G2-SCH-2022-11-12174,Supporting the NHS Long Term Plan Tobacco priorities,"Delivering value for money
By working with the VCSE we expect to gain relatively more resource for a fixed sum than would be possible working with an NHS or private sector organisation. In addition the organisation has significant expertise in the field which the grant should leverage  meaning work can be completed faster and more efficiently than organisations without this background. 
The organisation proposed has strong networks which have been independently developed: for instance on smoking and mental health, and in midwifery services. The grant will make use of these networks in gathering intelligence to support delivery and dissemination of messages and materials: providing additional value to the work at no additional cost.
Finally the NHS is investing significant funds (c£42m this year) in tobacco delivery  and this grant will support the best use of this investment: meaning services are set up, achieve outcomes and so reduce health inequalities and improve health.",55000.00,2022-04-01,2024-03-31,General Grant - Competed,24,Health,NHS Act 2006
Department of Health and Social Care,NHS England,G2-SCH-2022-11-12176,The Hub of Hope mental health crisis support,"The NHS Long Term Plan makes a renewed commitment to improve and widen access to care for children and adults needing mental health support. Before and during the pandemic, positive progress has been made on the expansion of adult crisis and liaison services such as the opening of 24/7 urgent mental health helpline, improvement of crisis alternative support such as crisis cafés, safe havens etc. However, the pandemic also has increased immense pressure on mental health services overall and therefore, it increased the acuity need and number of presentations to crisis and acute services. More people are looking for mental health services and the demand for signposting them to the right services remains an essential task. A&E pressures and particularly waiting times are higher than ever (30-40k MH attendances to ED each month, ~13% of MH patients now waiting above 12hrs), and the Hub of Hope is one of a number of alternative sources of support that we believe is likely to help diverting demand away from 111 / A&E. 


Developed by the charity Chasing the Stigma (CTS) the Hub of Hope (HoH) digital platform is a mental health signposting tool (website and mobile app) that is now the biggest and most comprehensive publicly available database of local mental health support. It has particular value in bringing together non-statutory services such as peer support groups that are highly valued by people, but are not held in a directory anywhere else. It is particularly unique as it has been developed from a lived experience perspective and therefore designed intuitively for people who may be feeling suicidal and seeking to know that there is support available and what type of support is likely to be most helpful  a perspective that statutory bodies have traditionally failed to do well. 

Using a postcode search, web browsers or mobile devices location, the free app and website can pinpoint the nearest, local mental services anywhere in the UK, within both the NHS and across the third sector. 

The app also lists alternative resource to support people experiencing a mental health crisis, including a direct link to the Samaritans as well as a new, 24/7 crisis text service in partnership with Crisis Text Line, among other national bodies.  All local NHS mental health crisis lines are also included prominently.  

CTS has made major strides in filling a gap in the sector that had not been achieved by any major statutory or other mental health organisation.",156900.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Health,NHS Act 2006
